image_id,stored_at
stadium_041,2023-03-18 06:10:42.516069
freeway_050,2023-03-18 06:10:44.583281
freeway_044,2023-03-18 06:10:46.571903
rectangular_farmland_041,2023-03-18 06:10:48.509049
island_040,2023-03-18 06:10:50.536553
island_054,2023-03-18 06:10:52.443344
industrial_area_033,2023-03-18 06:10:54.385752
forest_051,2023-03-18 06:10:56.327054
forest_045,2023-03-18 06:10:58.465900
industrial_area_027,2023-03-18 06:11:00.441099
forest_044,2023-03-18 06:11:02.404944
industrial_area_026,2023-03-18 06:11:04.520670
industrial_area_032,2023-03-18 06:11:06.475947
forest_050,2023-03-18 06:11:08.536377
island_041,2023-03-18 06:11:10.622928
rectangular_farmland_040,2023-03-18 06:11:12.718566
rectangular_farmland_054,2023-03-18 06:11:14.801237
freeway_045,2023-03-18 06:11:16.982242
freeway_051,2023-03-18 06:11:19.095099
stadium_054,2023-03-18 06:11:21.291637
stadium_040,2023-03-18 06:11:23.231260
stadium_042,2023-03-18 06:11:25.286856
freeway_047,2023-03-18 06:11:27.662177
freeway_053,2023-03-18 06:11:30.005388
rectangular_farmland_042,2023-03-18 06:11:32.152161
island_043,2023-03-18 06:11:34.313241
industrial_area_018,2023-03-18 06:11:36.588947
industrial_area_024,2023-03-18 06:11:38.750318
forest_046,2023-03-18 06:11:40.832963
forest_052,2023-03-18 06:11:42.946396
industrial_area_030,2023-03-18 06:11:45.265747
forest_053,2023-03-18 06:11:47.894554
industrial_area_031,2023-03-18 06:11:50.906995
industrial_area_025,2023-03-18 06:11:53.211864
forest_047,2023-03-18 06:11:56.051366
industrial_area_019,2023-03-18 06:11:58.625243
island_042,2023-03-18 06:12:01.236155
rectangular_farmland_043,2023-03-18 06:12:03.528320
freeway_052,2023-03-18 06:12:06.590659
freeway_046,2023-03-18 06:12:09.202176
stadium_043,2023-03-18 06:12:11.874324
freeway_042,2023-03-18 06:12:14.532787
stadium_053,2023-03-18 06:12:17.266427
stadium_047,2023-03-18 06:12:20.171160
rectangular_farmland_047,2023-03-18 06:12:22.672328
rectangular_farmland_053,2023-03-18 06:12:25.451569
island_052,2023-03-18 06:12:28.227779
island_046,2023-03-18 06:12:30.956016
forest_043,2023-03-18 06:12:33.821705
industrial_area_021,2023-03-18 06:12:36.979447
industrial_area_035,2023-03-18 06:12:39.699858
industrial_area_009,2023-03-18 06:12:42.729027
industrial_area_008,2023-03-18 06:12:44.944724
industrial_area_034,2023-03-18 06:12:47.244428
forest_042,2023-03-18 06:12:49.419562
industrial_area_020,2023-03-18 06:12:52.273971
island_047,2023-03-18 06:12:54.674676
island_053,2023-03-18 06:12:57.581692
rectangular_farmland_052,2023-03-18 06:13:00.722037
rectangular_farmland_046,2023-03-18 06:13:03.056975
stadium_046,2023-03-18 06:13:05.144273
stadium_052,2023-03-18 06:13:07.549237
freeway_043,2023-03-18 06:13:10.054170
freeway_041,2023-03-18 06:13:12.206882
stadium_044,2023-03-18 06:13:14.955553
stadium_050,2023-03-18 06:13:18.001623
rectangular_farmland_050,2023-03-18 06:13:20.517029
rectangular_farmland_044,2023-03-18 06:13:23.054333
island_045,2023-03-18 06:13:26.996657
island_051,2023-03-18 06:13:29.443604
forest_054,2023-03-18 06:13:31.969890
industrial_area_036,2023-03-18 06:13:35.427504
